event_id,campaign,flight,time,channel,x,y,source
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:20.000000,1,575,267,manual
HALO-AC3_RF03_082512,HALO-AC3,RF03,2022-03-13T08:25:20.000000,1,605,242,manual
HALO-AC3_RF03_082703,HALO-AC3,RF03,2022-03-13T08:27:03.000000,1,250,109,manual
HALO-AC3_RF03_082703,HALO-AC3,RF03,2022-03-13T08:27:03.000000,1,260,85,manual
HALO-AC3_RF03_082703,HALO-AC3,RF03,2022-03-13T08:27:03.000000,1,252,407,manual
HALO-AC3_RF03_082703,HALO-AC3,RF03,2022-03-13T08:27:03.000000,1,250,439,manual
HALO-AC3_RF03_082703,HALO-AC3,RF03,2022-03-13T08:27:03.000000,1,235,405,manual
HALO-AC3_RF03_082703,HALO-AC3,RF03,2022-03-13T08:27:03.000000,1,540,184,manual
HALO-AC3_RF03_082703,HALO-AC3,RF03,2022-03-13T08:27:03.000000,1,530,205,manual
HALO-AC3_RF03_082703,HALO-AC3,RF03,2022-03-13T08:27:03.000000,1,528,218,manual
HALO-AC3_RF03_082703,HALO-AC3,RF03,2022-03-13T08:27:03.000000,1,513,232,manual
HALO-AC3_RF03_082703,HALO-AC3,RF03,2022-03-13T08:27:03.000000,1,497,256,manual
HALO-AC3_RF03_082703,HALO-AC3,RF03,2022-03-13T08:27:03.000000,1,476,268,manual
HALO-AC3_RF03_082703,HALO-AC3,RF03,2022-03-13T08:27:03.000000,1,543,151,manual
HALO-AC3_RF03_082703,HALO-AC3,RF03,2022-03-13T08:27:03.000000,1,531,132,manual
HALO-AC3_RF03_163042,HALO-AC3,RF03,2022-03-13T16:30:42.000000,1,157,240,manual
HALO-AC3_RF03_163042,HALO-AC3,RF03,2022-03-13T16:30:42.000000,1,167,253,manual
HALO-AC3_RF03_163042,HALO-AC3,RF03,2022-03-13T16:30:42.000000,1,174,265,manual
HALO-AC3_RF03_163042,HALO-AC3,RF03,2022-03-13T16:30:42.000000,1,162,272,manual
HALO-AC3_RF03_163042,HALO-AC3,RF03,2022-03-13T16:30:42.000000,1,140,277,manual
HALO-AC3_RF03_163042,HALO-AC3,RF03,2022-03-13T16:30:42.000000,1,130,263,manual
HALO-AC3_RF03_163042,HALO-AC3,RF03,2022-03-13T16:30:42.000000,1,115,242,manual
HALO-AC3_RF03_163042,HALO-AC3,RF03,2022-03-13T16:30:42.000000,1,104,225,manual
HALO-AC3_RF03_163042,HALO-AC3,RF03,2022-03-13T16:30:42.000000,1,115,224,manual
HALO-AC3_RF03_163042,HALO-AC3,RF03,2022-03-13T16:30:42.000000,1,129,214,manual
HALO-AC3_RF03_163042,HALO-AC3,RF03,2022-03-13T16:30:42.000000,1,149,206,manual
HALO-AC3_RF03_163042,HALO-AC3,RF03,2022-03-13T16:30:42.000000,1,153,217,manual
HALO-AC3_RF03_163042,HALO-AC3,RF03,2022-03-13T16:30:42.000000,1,257,253,manual
HALO-AC3_RF03_163042,HALO-AC3,RF03,2022-03-13T16:30:42.000000,1,251,228,manual
HALO-AC3_RF03_163042,HALO-AC3,RF03,2022-03-13T16:30:42.000000,1,241,207,manual
HALO-AC3_RF03_163042,HALO-AC3,RF03,2022-03-13T16:30:42.000000,1,239,187,manual
HALO-AC3_RF03_163042,HALO-AC3,RF03,2022-03-13T16:30:42.000000,1,274,13,manual
HALO-AC3_RF03_163042,HALO-AC3,RF03,2022-03-13T16:30:42.000000,1,303,16,manual
HALO-AC3_RF03_163042,HALO-AC3,RF03,2022-03-13T16:30:42.000000,1,333,28,manual
HALO-AC3_RF03_163042,HALO-AC3,RF03,2022-03-13T16:30:42.000000,1,307,88,manual
HALO-AC3_RF03_163042,HALO-AC3,RF03,2022-03-13T16:30:42.000000,1,266,89,manual
HALO-AC3_RF03_163042,HALO-AC3,RF03,2022-03-13T16:30:42.000000,1,255,103,manual
HALO-AC3_RF03_163042,HALO-AC3,RF03,2022-03-13T16:30:42.000000,1,168,51,manual
HALO-AC3_RF03_163042,HALO-AC3,RF03,2022-03-13T16:30:42.000000,1,151,49,manual
HALO-AC3_RF03_163042,HALO-AC3,RF03,2022-03-13T16:30:42.000000,1,135,34,manual
HALO-AC3_RF03_163042,HALO-AC3,RF03,2022-03-13T16:30:42.000000,1,121,16,manual
HALO-AC3_RF03_163042,HALO-AC3,RF03,2022-03-13T16:30:42.000000,1,111,4,manual
HALO-AC3_RF03_163042,HALO-AC3,RF03,2022-03-13T16:30:42.000000,1,67,315,manual
HALO-AC3_RF03_163042,HALO-AC3,RF03,2022-03-13T16:30:42.000000,1,88,327,manual
HALO-AC3_RF03_163042,HALO-AC3,RF03,2022-03-13T16:30:42.000000,1,110,338,manual
HALO-AC3_RF03_163042,HALO-AC3,RF03,2022-03-13T16:30:42.000000,1,141,347,manual
HALO-AC3_RF03_163042,HALO-AC3,RF03,2022-03-13T16:30:42.000000,1,163,347,manual
HALO-AC3_RF03_163042,HALO-AC3,RF03,2022-03-13T16:30:42.000000,1,46,313,manual
HALO-AC3_RF03_163042,HALO-AC3,RF03,2022-03-13T16:30:42.000000,1,32,316,manual
HALO-AC3_RF03_163042,HALO-AC3,RF03,2022-03-13T16:30:42.000000,1,19,317,manual
HALO-AC3_RF03_163452,HALO-AC3,RF03,2022-03-13T16:34:52.000000,1,160,331,manual
HALO-AC3_RF03_163452,HALO-AC3,RF03,2022-03-13T16:34:52.000000,1,153,354,manual
HALO-AC3_RF03_163452,HALO-AC3,RF03,2022-03-13T16:34:52.000000,1,159,245,manual
HALO-AC3_RF03_163452,HALO-AC3,RF03,2022-03-13T16:34:52.000000,1,155,253,manual
HALO-AC3_RF03_163452,HALO-AC3,RF03,2022-03-13T16:34:52.000000,1,160,268,manual
HALO-AC3_RF03_163452,HALO-AC3,RF03,2022-03-13T16:34:52.000000,1,165,280,manual
HALO-AC3_RF03_163452,HALO-AC3,RF03,2022-03-13T16:34:52.000000,1,162,289,manual
HALO-AC3_RF03_163452,HALO-AC3,RF03,2022-03-13T16:34:52.000000,1,160,301,manual
HALO-AC3_RF03_163452,HALO-AC3,RF03,2022-03-13T16:34:52.000000,1,225,197,manual
HALO-AC3_RF03_163452,HALO-AC3,RF03,2022-03-13T16:34:52.000000,1,212,182,manual
HALO-AC3_RF03_163452,HALO-AC3,RF03,2022-03-13T16:34:52.000000,1,203,165,manual
HALO-AC3_RF03_163452,HALO-AC3,RF03,2022-03-13T16:34:52.000000,1,241,221,manual
HALO-AC3_RF03_163452,HALO-AC3,RF03,2022-03-13T16:34:52.000000,1,242,243,manual
HALO-AC3_RF04_091033,HALO-AC3,RF04,2022-03-14T09:10:33.000000,1,372,247,manual
HALO-AC3_RF04_091033,HALO-AC3,RF04,2022-03-14T09:10:33.000000,1,325,252,manual
HALO-AC3_RF04_091033,HALO-AC3,RF04,2022-03-14T09:10:33.000000,1,274,292,manual
HALO-AC3_RF04_091033,HALO-AC3,RF04,2022-03-14T09:10:33.000000,1,241,321,manual
HALO-AC3_RF04_091033,HALO-AC3,RF04,2022-03-14T09:10:33.000000,1,384,208,manual
HALO-AC3_RF04_091033,HALO-AC3,RF04,2022-03-14T09:10:33.000000,1,379,182,manual
HALO-AC3_RF04_091033,HALO-AC3,RF04,2022-03-14T09:10:33.000000,1,378,157,manual
HALO-AC3_RF04_091033,HALO-AC3,RF04,2022-03-14T09:10:33.000000,1,386,149,manual
HALO-AC3_RF04_091033,HALO-AC3,RF04,2022-03-14T09:10:33.000000,1,466,127,manual
HALO-AC3_RF04_091033,HALO-AC3,RF04,2022-03-14T09:10:33.000000,1,479,153,manual
HALO-AC3_RF04_091033,HALO-AC3,RF04,2022-03-14T09:10:33.000000,1,508,175,manual
HALO-AC3_RF04_091033,HALO-AC3,RF04,2022-03-14T09:10:33.000000,1,532,178,manual
HALO-AC3_RF04_091033,HALO-AC3,RF04,2022-03-14T09:10:33.000000,1,545,199,manual
HALO-AC3_RF04_091033,HALO-AC3,RF04,2022-03-14T09:10:33.000000,1,511,211,manual
HALO-AC3_RF04_091033,HALO-AC3,RF04,2022-03-14T09:10:33.000000,1,520,230,manual
HALO-AC3_RF04_091033,HALO-AC3,RF04,2022-03-14T09:10:33.000000,1,552,252,manual
HALO-AC3_RF04_091654,HALO-AC3,RF04,2022-03-14T09:16:54.000000,1,449,262,manual
HALO-AC3_RF04_091654,HALO-AC3,RF04,2022-03-14T09:16:54.000000,1,444,279,manual
HALO-AC3_RF04_091654,HALO-AC3,RF04,2022-03-14T09:16:54.000000,1,432,296,manual
HALO-AC3_RF04_091654,HALO-AC3,RF04,2022-03-14T09:16:54.000000,1,401,317,manual
